Date,Meal,Time,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
3/1/23,Lunch,9:20 PM,858,10.5,11.6,3.1,6.7,0.5,50,1325,503,82.5,5.7,12.4,12.6,128,40.2,22.3,18.9,
3/1/23,Lunch,9:40 PM,24.7,0.6,0.2,0,0,0,9.9,18.5,0,0,0,0,4.9,0,0.5,0,0.5,
3/1/23,Dinner,9:05 PM,397.3,7.6,2,1.9,1.1,0,72.8,726.3,126.9,54.8,1.8,0.9,28.1,9.3,12.7,2,8.2,
3/1/23,Dinner,9:10 PM,28.4,0.3,0.1,0.1,0,0,0,33.2,237.3,5.8,2.7,1.1,1.9,83.6,87.6,3.2,3,
3/1/23,Dinner,9:15 PM,778,27,6.5,3.5,11,0,130,1420,870,75,6,2,34,10,6,24,36,
3/1/23,Dinner,9:20 PM,170,13,8,0,0,1,45,270,45,1,0,0,10,6,0,30,0,
3/1/23,Dinner,9:45 PM,148,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,
3/2/23,Lunch,12:00 PM,403,13.5,5.1,3.1,2.7,0,0,325,138,66.5,3.7,28.4,5.6,0,0.2,2.3,12.9,
3/2/23,Lunch,12:10 PM,709.5,22.2,9.2,2,1.1,0,99,1458.7,431.3,83.4,2.8,2.8,42.9,9.9,11.2,46.1,16.7,
3/2/23,Lunch,12:15 PM,30,0,0,0,0,0,0,30,525,15,0,4,0,0,0,0,0,
3/2/23,Lunch,3:15 PM,30.9,0.8,0.3,0,0,0,12.3,23.1,0,0,0,0,6.2,0,0.6,0,0.6,
3/2/23,Lunch,3:20 PM,65,0.8,0,0,0,0,0,27.5,0,13.5,1,0.5,2,0,0,0,3,
3/3/23,Breakfast,9:50 AM,303.8,4.3,1.3,0.6,1.3,0,7,192.3,968.5,64.2,5.5,35.7,7.5,7.6,25.7,53.2,6.5,
3/21/23,Lunch,11:40 AM,188.7,0.7,0.2,0.2,0.1,0,0,2.1,759,48.4,5.5,25.9,2.3,9,30.7,1.1,3.1,
3/21/23,Lunch,11:45 AM,126.2,3.4,0,0.7,2,0,0,232.7,242.5,24.9,2.2,21.5,1.6,0.5,0.4,64,7.1,
3/21/23,Lunch,11:50 AM,415.1,22.6,4.2,0.7,1.4,0,191.4,1183,51.1,26.9,1,3.9,24.4,0,31,11.7,17.4,
3/21/23,Lunch,11:55 AM,19.2,0.2,0,0.1,0,0,0,0.6,91.8,4.6,1.2,2.9,0.4,0.5,58.8,1,1.4,
4/5/23,Breakfast,9:20 AM,77.6,1.6,0,0,0,0,38.8,791.5,0,1.6,0,0,14,0,31,0,3.1,
4/5/23,Breakfast,9:30 AM,391.6,20.7,4.4,0.9,1.5,0,152.6,182.1,810.1,48.7,5.5,26,6.9,9,30.7,3.2,6.7,
4/5/23,Breakfast,10:30 AM,66,3.8,0.1,0.8,2.1,0,0,231.7,247.8,6.9,2.6,0.2,2.1,0.5,0.2,64.1,7.5,
4/5/23,Breakfast,2:30 PM,134.6,1,0,0,0,0,0,211.5,0,25,1,3.8,5.8,0,0,9.6,10.7,
4/5/23,Lunch,2:30 PM,700,43,25,3.5,15,1.5,225,3150,1441,113,9,4,54,146,56,76,48,
