Date,Meal,Time,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2023-03-03,Breakfast,9:50 AM,303.8,4.3,1.3,0.6,1.3,0.0,7.0,192.3,968.5,64.2,5.5,35.7,7.5,7.6,25.7,53.2,6.5,
2023-03-21,Lunch,11:40 AM,188.7,0.7,0.2,0.2,0.1,0.0,0.0,2.1,759.0,48.4,5.5,25.9,2.3,9.0,30.7,1.1,3.1,
2023-03-21,Lunch,11:45 AM,126.2,3.4,0.0,0.7,2.0,0.0,0.0,232.7,242.5,24.9,2.2,21.5,1.6,0.5,0.4,64.0,7.1,
2023-03-21,Lunch,11:50 AM,415.1,22.6,4.2,0.7,1.4,0.0,191.4,1183.0,51.1,26.9,1.0,3.9,24.4,0.0,31.0,11.7,17.4,
2023-03-21,Lunch,11:55 AM,19.2,0.2,0.0,0.1,0.0,0.0,0.0,0.6,91.8,4.6,1.2,2.9,0.4,0.5,58.8,1.0,1.4,
2023-04-05,Breakfast,9:20 AM,77.6,1.6,0.0,0.0,0.0,0.0,38.8,791.5,0.0,1.6,0.0,0.0,14.0,0.0,31.0,0.0,3.1,
2023-04-05,Breakfast,9:30 AM,391.6,20.7,4.4,0.9,1.5,0.0,152.6,182.1,810.1,48.7,5.5,26.0,6.9,9.0,30.7,3.2,6.7,
2023-04-05,Breakfast,10:30 AM,66.0,3.8,0.1,0.8,2.1,0.0,0.0,231.7,247.8,6.9,2.6,0.2,2.1,0.5,0.2,64.1,7.5,
2023-04-05,Breakfast,2:30 PM,134.6,1.0,0.0,0.0,0.0,0.0,0.0,211.5,0.0,25.0,1.0,3.8,5.8,0.0,0.0,9.6,10.7,
2023-04-05,Lunch,2:30 PM,1465.0,43.0,25.0,3.5,15.0,1.5,225.0,3150.0,1441.0,113.0,9.0,4.0,54.0,146.0,56.0,76.0,48.0,
